"age","year","unit","season","area","iter","data"
0,2000,1,1,"unique",1,0
0,2001,1,1,"unique",1,0
0,2002,1,1,"unique",1,0
0,2003,1,1,"unique",1,0
0,2004,1,1,"unique",1,0
0,2005,1,1,"unique",1,0
0,2006,1,1,"unique",1,0
0,2007,1,1,"unique",1,0
0,2008,1,1,"unique",1,0
0,2009,1,1,"unique",1,0
0,2010,1,1,"unique",1,0
0,2011,1,1,"unique",1,0
0,2012,1,1,"unique",1,0
0,2013,1,1,"unique",1,0
0,2014,1,1,"unique",1,0
0,2015,1,1,"unique",1,0
0,2016,1,1,"unique",1,0
1,2000,1,1,"unique",1,0
1,2001,1,1,"unique",1,0
1,2002,1,1,"unique",1,0
1,2003,1,1,"unique",1,0
1,2004,1,1,"unique",1,0
1,2005,1,1,"unique",1,0
1,2006,1,1,"unique",1,0
1,2007,1,1,"unique",1,0
1,2008,1,1,"unique",1,0
1,2009,1,1,"unique",1,0
1,2010,1,1,"unique",1,0.538
1,2011,1,1,"unique",1,0.043
1,2012,1,1,"unique",1,0.026
1,2013,1,1,"unique",1,0.042
1,2014,1,1,"unique",1,0.026
1,2015,1,1,"unique",1,0
1,2016,1,1,"unique",1,0
2,2000,1,1,"unique",1,0
2,2001,1,1,"unique",1,0
2,2002,1,1,"unique",1,0
2,2003,1,1,"unique",1,0
2,2004,1,1,"unique",1,0
2,2005,1,1,"unique",1,0
2,2006,1,1,"unique",1,0
2,2007,1,1,"unique",1,0
2,2008,1,1,"unique",1,0
2,2009,1,1,"unique",1,0
2,2010,1,1,"unique",1,3.374
2,2011,1,1,"unique",1,1.888
2,2012,1,1,"unique",1,0.602
2,2013,1,1,"unique",1,0.451
2,2014,1,1,"unique",1,0.029
2,2015,1,1,"unique",1,0
2,2016,1,1,"unique",1,0
3,2000,1,1,"unique",1,0
3,2001,1,1,"unique",1,0
3,2002,1,1,"unique",1,0
3,2003,1,1,"unique",1,0
3,2004,1,1,"unique",1,0
3,2005,1,1,"unique",1,0
3,2006,1,1,"unique",1,0
3,2007,1,1,"unique",1,0
3,2008,1,1,"unique",1,0
3,2009,1,1,"unique",1,0
3,2010,1,1,"unique",1,6.536
3,2011,1,1,"unique",1,4.689
3,2012,1,1,"unique",1,4.569
3,2013,1,1,"unique",1,0.756
3,2014,1,1,"unique",1,0.099
3,2015,1,1,"unique",1,0
3,2016,1,1,"unique",1,0
4,2000,1,1,"unique",1,0
4,2001,1,1,"unique",1,0
4,2002,1,1,"unique",1,0
4,2003,1,1,"unique",1,0
4,2004,1,1,"unique",1,0
4,2005,1,1,"unique",1,0
4,2006,1,1,"unique",1,0
4,2007,1,1,"unique",1,0
4,2008,1,1,"unique",1,0
4,2009,1,1,"unique",1,0
4,2010,1,1,"unique",1,4.524
4,2011,1,1,"unique",1,3.792
4,2012,1,1,"unique",1,2.982
4,2013,1,1,"unique",1,2.56
4,2014,1,1,"unique",1,0.085
4,2015,1,1,"unique",1,0
4,2016,1,1,"unique",1,0
5,2000,1,1,"unique",1,0
5,2001,1,1,"unique",1,0
5,2002,1,1,"unique",1,0
5,2003,1,1,"unique",1,0
5,2004,1,1,"unique",1,0
5,2005,1,1,"unique",1,0
5,2006,1,1,"unique",1,0
5,2007,1,1,"unique",1,0
5,2008,1,1,"unique",1,0
5,2009,1,1,"unique",1,0
5,2010,1,1,"unique",1,1.348
5,2011,1,1,"unique",1,1.285
5,2012,1,1,"unique",1,0.964
5,2013,1,1,"unique",1,1.272
5,2014,1,1,"unique",1,0.123
5,2015,1,1,"unique",1,0
5,2016,1,1,"unique",1,0
6,2000,1,1,"unique",1,0
6,2001,1,1,"unique",1,0
6,2002,1,1,"unique",1,0
6,2003,1,1,"unique",1,0
6,2004,1,1,"unique",1,0
6,2005,1,1,"unique",1,0
6,2006,1,1,"unique",1,0
6,2007,1,1,"unique",1,0
6,2008,1,1,"unique",1,0
6,2009,1,1,"unique",1,0
6,2010,1,1,"unique",1,0.296
6,2011,1,1,"unique",1,0.367
6,2012,1,1,"unique",1,0.267
6,2013,1,1,"unique",1,0.376
6,2014,1,1,"unique",1,0.028
6,2015,1,1,"unique",1,0
6,2016,1,1,"unique",1,0
7,2000,1,1,"unique",1,0
7,2001,1,1,"unique",1,0
7,2002,1,1,"unique",1,0
7,2003,1,1,"unique",1,0
7,2004,1,1,"unique",1,0
7,2005,1,1,"unique",1,0
7,2006,1,1,"unique",1,0
7,2007,1,1,"unique",1,0
7,2008,1,1,"unique",1,0
7,2009,1,1,"unique",1,0
7,2010,1,1,"unique",1,0.059
7,2011,1,1,"unique",1,0.11
7,2012,1,1,"unique",1,0.041
7,2013,1,1,"unique",1,0.057
7,2014,1,1,"unique",1,0.004
7,2015,1,1,"unique",1,0
7,2016,1,1,"unique",1,0
8,2000,1,1,"unique",1,0
8,2001,1,1,"unique",1,0
8,2002,1,1,"unique",1,0
8,2003,1,1,"unique",1,0
8,2004,1,1,"unique",1,0
8,2005,1,1,"unique",1,0
8,2006,1,1,"unique",1,0
8,2007,1,1,"unique",1,0
8,2008,1,1,"unique",1,0
8,2009,1,1,"unique",1,0
8,2010,1,1,"unique",1,0.018
8,2011,1,1,"unique",1,0.006
8,2012,1,1,"unique",1,0.008
8,2013,1,1,"unique",1,0.017
8,2014,1,1,"unique",1,0.001
8,2015,1,1,"unique",1,0
8,2016,1,1,"unique",1,0
9,2000,1,1,"unique",1,0
9,2001,1,1,"unique",1,0
9,2002,1,1,"unique",1,0
9,2003,1,1,"unique",1,0
9,2004,1,1,"unique",1,0
9,2005,1,1,"unique",1,0
9,2006,1,1,"unique",1,0
9,2007,1,1,"unique",1,0
9,2008,1,1,"unique",1,0
9,2009,1,1,"unique",1,0
9,2010,1,1,"unique",1,0.002
9,2011,1,1,"unique",1,0
9,2012,1,1,"unique",1,0
9,2013,1,1,"unique",1,0
9,2014,1,1,"unique",1,0
9,2015,1,1,"unique",1,0
9,2016,1,1,"unique",1,0
10,2000,1,1,"unique",1,0
10,2001,1,1,"unique",1,0
10,2002,1,1,"unique",1,0
10,2003,1,1,"unique",1,0
10,2004,1,1,"unique",1,0
10,2005,1,1,"unique",1,0
10,2006,1,1,"unique",1,0
10,2007,1,1,"unique",1,0
10,2008,1,1,"unique",1,0
10,2009,1,1,"unique",1,0
10,2010,1,1,"unique",1,0
10,2011,1,1,"unique",1,0
10,2012,1,1,"unique",1,0
10,2013,1,1,"unique",1,0
10,2014,1,1,"unique",1,0
10,2015,1,1,"unique",1,0
10,2016,1,1,"unique",1,0
11,2000,1,1,"unique",1,0
11,2001,1,1,"unique",1,0
11,2002,1,1,"unique",1,0
11,2003,1,1,"unique",1,0
11,2004,1,1,"unique",1,0
11,2005,1,1,"unique",1,0
11,2006,1,1,"unique",1,0
11,2007,1,1,"unique",1,0
11,2008,1,1,"unique",1,0
11,2009,1,1,"unique",1,0
11,2010,1,1,"unique",1,0
11,2011,1,1,"unique",1,0
11,2012,1,1,"unique",1,0
11,2013,1,1,"unique",1,0
11,2014,1,1,"unique",1,0
11,2015,1,1,"unique",1,0
11,2016,1,1,"unique",1,0
